participant,free_texts,feedback,fertility_score,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
020,"['Has webbed legs and strippd body that help it fit in the environment properly.', 'Based on its color, the reptile was a bit less fertile because of the environment issues, the season was not friendly', 'The season was getting somehow better hence favourable.', 'The skin color looks weak, the season was harsh thus poor fertility rate', 'The legs are more webbed proving that the season was doing better thus high fertility rate.', 'The season was very unfavorable', 'Has webbed legs hence average fertility rate', 'Has webbed legs hence average fertility rate']",[],"[7.0, 5.0, 6.0, 4.0, 9.0, 1.0, 5.0, 5.0]",738.9675,"['E_F', 'W_F', 'E_C', 'W_C']","[5.0, 2.0, 9.0, 6.0]","['high', 'low', 'high', 'low', 'high', 'low', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F']","['E', 'W', 'E', 'W', 'E', 'W', 'W', 'E']","['high', 'low', 'high', 'low']",20,"['E_C', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'W_F', 'E_F']",1,6.0,5.0,stripes,feet,C,W,E,F,Yes, Curved/Pointy,5.0,Yes, Up/Right,5.0
019,"['This reptile may be more fertile because they have webbed feet and stripes angled to the right.', 'The presence of the stripes angles left may be contributing to a slightly more fertility score, possibly along with having webbed feet.', 'The presence of curly feet may be lowering the fertility score', 'The presence of curly feet is again lowering the fertility score', 'The presence of webbed feet and left angled stripes are both increasing the fertility score.', 'The presence of curly feet lowers the fertility score despite the left angled stripes.', 'Webbed feet seems to be the best indicator of fertility. Coupled with right and left stripes can increase the annual fertility moderately to a lot.', 'Having both curly feet and right angles stripe seems to be a combination that lowers the fertility the most.']","[""It's a matter of which trait was visible and how it affected the score. With any kind of genetics, there is always an affect based upon on how well expressed the trait is. That is why the angling of the stripes right or left played a smaller role in the fertility score, but it's presence still affected it. As for the feet, webbing was important to have or not have, as the curly feet definitely seemed to have a negative affect on the fertility score.""]","[5.0, 6.0, 3.0, 3.0, 9.0, 4.0, 10.0, 2.0]",586.981,"['W_C', 'E_C', 'W_F', 'E_F']","[4.0, 3.0, 7.0, 8.0]","['high', 'high', 'low', 'low', 'high', 'low', 'high', 'low']","['F', 'F', 'C', 'C', 'F', 'C', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",19,"['E_F', 'W_F', 'W_C', 'E_C', 'W_F', 'W_C', 'E_F', 'E_C']",1,5.0,5.0,feet,stripes,F,E,W,C,Yes,Webbed,6.0,Yes, Up/Right,3.0
002,"['The stripes are the reason', 'the webbed toes', 'the curled toes', 'horizontal stripes', 'slanted stripes', 'vertical stripes', 'slanted stripes with webbed toes', 'vertical stripes with curled toes']",[],"[5.0, 9.0, 5.0, 4.0, 8.0, 4.0, 9.0, 3.0]",395.2363,"['E_F', 'W_C', 'E_C', 'W_F']","[4.0, 6.0, 3.0, 9.0]","['low', 'high', 'high', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'E', 'W', 'E']","['low', 'high', 'low', 'high']",2,"['E_C', 'W_F', 'W_C', 'E_F', 'W_C', 'E_F', 'W_F', 'E_C']",1,7.0,1.0,stripes,feet,F,E,W,C,Yes,Webbed,2.0,Yes,Up/Left,7.0
034,"['This reptile received a fertility score because it is being tested or prepared for internal fertilization to ensure successful breeding.', 'Because it has been mated and produced a clutch but only contained infertile eggs or no embryos.', 'because the clutch only contained 6 embryos', 'all eggs in a clutch were fertile\xa0', '7 of the eggs in the clutch were fertile', 'because 6 off the eggs in the clutch were fertile', 'only 3 eggs in the clutch were fertile', '7 of the eggs in the clutch were fertile']",[],"[4.0, 3.0, 6.0, 10.0, 7.0, 6.0, 3.0, 7.0]",391.1508,"['W_F', 'W_C', 'E_F', 'E_C']","[7.0, 6.0, 10.0, 3.0]","['low', 'high', 'low', 'high', 'high', 'low', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F']","['E', 'W', 'E', 'W', 'W', 'E', 'E', 'W']","['high', 'high', 'low', 'low']",34,"['E_C', 'W_C', 'E_F', 'W_F', 'W_C', 'E_C', 'E_F', 'W_F']",1,5.0,5.0,stripes,feet,F,E,W,C,No,,,Yes, Up/Right,5.0
011,"['They have a lot of natural predators\xa0', 'They have access to a lot of food and lack of natural predators\xa0', 'They have an easy food source and minimal danger', 'They struggle to find safe places away from predators', 'They possibly struggle to find a safe place away from predators\xa0', 'They possibly are better equipped to stay away from predators', 'They are possibly better equipped to stay away from predators and better protect their young', 'They are probably better equipped to hide away from predators and protect their young']",[],"[4.0, 7.0, 6.0, 3.0, 2.0, 9.0, 8.0, 7.0]",642.2627,"['W_C', 'E_C', 'E_F', 'W_F']","[9.0, 9.0, 2.0, 2.0]","['low', 'high', 'high', 'low', 'low', 'high', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'F', 'C']","['E', 'W', 'E', 'W', 'E', 'E', 'W', 'W']","['low', 'low', 'high', 'high']",11,"['E_C', 'W_F', 'E_F', 'W_C', 'E_C', 'E_F', 'W_F', 'W_C']",0,5.0,6.0,feet,stripes,F,E,W,C,Yes, Curved/Pointy,6.0,No,,
017,"['It has stripes going up and to the left.', 'It is green and has stripes going up and to the left.', 'It has webbed feet and striped going up and to the right.', 'It has curly feet and striped going up and to the right.', 'It has webbed feet.', 'It has curly feet.', 'It had curly feet', 'It has webbed feet.']",['I looked at the stripe direction and feet and tried to see if any were associated with higher scores.'],"[2.0, 6.0, 5.0, 9.0, 5.0, 6.0, 10.0, 5.0]",186.6569,"['W_F', 'E_C', 'W_C', 'E_F']","[3.0, 9.0, 6.0, 5.0]","['low', 'high', 'low', 'high', 'low', 'high', 'high', 'low']","['F', 'C', 'F', 'C', 'F', 'C', 'C', 'F']","['W', 'W', 'E', 'E', 'E', 'W', 'E', 'W']","['low', 'high', 'high', 'low']",17,"['W_F', 'W_C', 'E_F', 'E_C', 'E_F', 'W_C', 'E_C', 'W_F']",1,6.0,7.0,feet,stripes,C,W,E,F,Yes, Curved/Pointy,5.0,No,,
029,"['This reptile received a fertility score of 6 because it appears healthy and well-maintained. It has a good body condition and looks active and alert, which are positive signs for reproduction. A score of 6 suggests that it has a reasonable chance of reproducing successfully, although there may be factors not visible in the image that prevent it from receiving a higher score. Overall, the reptile seems to have average to above-average fertility potential.', 'This reptile received a fertility score of 6 because it appears healthy and well-maintained. It has a good body condition and looks active and alert, which are positive signs for reproduction.', 'This reptile received a fertility score of 6 because it appears healthy and well-maintained. It has a good body condition and looks active and alert, which are positive signs for reproduction. A score of 6 suggests that it has a reasonable chance of reproducing successfully, although there may be factors not visible in the image that prevent it from receiving a higher score. Overall, the reptile seems to have average to above-average fertility potential.', 'A score of 7 suggests that it has a reasonable chance of reproducing successfully, although there may be factors not visible in the image that prevent it from receiving a higher score. Overall, the reptile seems to have average to above-average fertility potential.', 'The reptile received a fertility score of 3 because it appears to have below-average reproductive potential. Although it may show some healthy traits, there may be factors such as its physical condition, age, or environment that reduce its likelihood of reproducing successfully. A score of 3 suggests that reproduction is possible, but the chances are lower compared to reptiles with higher fertility scores.', 'This reptile received a fertility score of 10 because it appears healthy and well-maintained. It has a good body condition and looks active and alert, which are positive signs for reproduction. A score of 10\xa0 suggests that it has a reasonable chance of reproducing successfully, although there may be factors not visible in the image that prevent it from receiving a higher score. Overall, the reptile seems to have average to above-average fertility potential.', 'The reptile received a fertility score of 2 because it appears to have low reproductive potential. Although it may possess some positive traits, there are likely several factors limiting its ability to reproduce successfully. This score suggests that successful reproduction is possible but less likely, placing it in the lower range of fertility compared to healthier or more reproductively fit individuals.', 'The reptile received a fertility score of 4 because it shows average reproductive potential. It appears reasonably healthy and capable of reproducing, but there may be factors that reduce its chances compared to reptiles with higher fertility scores. Overall, the score indicates a fair likelihood of successful reproduction, though there is room for improvement.']",['I made the decisions according to some features i observed'],"[6.0, 6.0, 6.0, 7.0, 3.0, 10.0, 2.0, 4.0]",452.7098,"['W_F', 'W_C', 'E_C', 'E_F']","[7.0, 4.0, 2.0, 10.0]","['high', 'low', 'low', 'high', 'high', 'high', 'low', 'low']","['C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['E', 'W', 'E', 'W', 'W', 'E', 'E', 'W']","['low', 'high', 'high', 'low']",29,"['E_C', 'W_F', 'E_F', 'W_C', 'W_C', 'E_C', 'E_F', 'W_F']",1,5.0,4.0,feet,stripes,C,W,E,F,No,,,Yes, Up/Right,7.0
039,"['They have stripes\xa0', 'They are more lighter in color\xa0', 'Their eyes are different', 'Their lower chin is a lot more lighter', 'Their stripes are a lot more darker\xa0', 'They seem more lighter in color like like green\xa0', 'They are a light like color', 'Their stripes go a little down their leg halfway']","['I enjoyed this survey, I realized in the end that I didn’t realize certain small details that changed but made a huge difference\xa0']","[3.0, 10.0, 8.0, 6.0, 1.0, 6.0, 9.0, 9.0]",1350.188,"['W_C', 'W_F', 'E_C', 'E_F']","[2.0, 4.0, 10.0, 9.0]","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['E', 'W', 'E', 'W', 'E', 'W', 'W', 'E']","['low', 'high', 'low', 'high']",39,"['E_C', 'W_F', 'E_F', 'W_C', 'E_C', 'W_C', 'W_F', 'E_F']",1,5.0,5.0,feet,stripes,F,E,W,C,Yes,Webbed,7.0,Yes, Up/Right,7.0
022,"['webbed feet', 'feet', 'middle aged', 'middle aged', 'young aged', 'middle aged', 'young aged', 'old age']",[],"[9.0, 8.0, 5.0, 5.0, 7.0, 5.0, 8.0, 2.0]",89.4133,"['W_C', 'W_F', 'E_C', 'E_F']","[7.0, 5.0, 7.0, 8.0]","['high', 'high', 'low', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['W', 'W', 'E', 'E', 'W', 'E', 'W', 'E']","['high', 'high', 'low', 'low']",22,"['W_C', 'W_F', 'E_F', 'E_C', 'W_C', 'E_C', 'W_F', 'E_F']",1,6.0,5.0,stripes,feet,C,E,W,F,Yes,Webbed,5.0,Yes, Up/Right,4.0
031,"['Because of the stripes on their back', 'Because they are lime green', 'Because one of their eyes is smaller than the other', 'Their toes are webbed', 'They are lighter in color', 'Their toes are webbed and have many stripes', ""The toes aren't webbed so they're lower"", ""The toes aren't webbed and lighter in color""]",[],"[8.0, 4.0, 3.0, 7.0, 6.0, 8.0, 5.0, 2.0]",253.9659,"['E_F', 'W_C', 'E_C', 'W_F']","[8.0, 5.0, 4.0, 6.0]","['high', 'low', 'low', 'high', 'high', 'high', 'low', 'low']","['F', 'C', 'C', 'F', 'F', 'F', 'C', 'C']","['W', 'E', 'W', 'E', 'W', 'E', 'E', 'W']","['high', 'low', 'low', 'high']",31,"['W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'E_F', 'E_C', 'W_C']",0,4.0,5.0,feet,stripes,F,W,E,C,Yes,Webbed,6.0,Yes, Up/Right,6.0
