participant,free_texts,feedback,food_amount,trial_stop_time,testing_image_order,testing_responses,training_categories,training_tail,training_shape,training_color,testing_categories,conditionOrder,training_image_order,attention_check,shape_discrete_slider.response,color_discrete_slider.response,tail_discrete_slider.response,shape_direction_slider.response,color_direction_slider.response,tail_direction_slider.response,shape_continuous_slider.response,color_continuous_slider.response,tail_continuous_slider.response
019,"[""It wasn't that hungry."", 'It was hungry.', 'It was very hungry.', 'It was hungry.', 'It was hungry.', 'It was pretty hungry.', 'It was very hungry.', ""It wasn't very hungry."", 'It was only a little hungry.', 'It was hungry.', 'It was very hungry', 'It was pretty hungry.', 'It was hungry.', 'It was only a little hungry.', ""It wasn't very hungry."", ""It hadn't eaten all day and was starving.\xa0"", 'It was hungry.', 'It was a little hungry.', ""It wasn't very hungry."", 'It was pretty hungry.', ""It wasn't very hungry."", 'It was pretty hungry']",['No comments.\xa0'],"[3.0, 4.0, 9.0, 5.0, 5.0, 6.0, 8.0, 2.0, 3.0, 5.0, 9.0, 6.0, 4.0, 3.0, 2.0, 9.0, 6.0, 5.0, 4.0, 2.0, 7.0, 6.0, 3.0, 6.0, 3.0]",352.6373,"['T_Y_C', 'N_B_C', 'N_Y_S', 'T_B_C', 'T_Y_S', 'N_B_S', 'T_B_S', 'N_Y_C']","[5.0, 4.0, 5.0, 6.0, 7.0, 6.0, 4.0, 5.0]","['low', 'medium', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'low', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'high', 'medium', 'high', 'medium', 'low', 'high', 'medium', 'low', 'medium', 'low']","['N', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'N', 'T', 'T', 'N', 'N', 'N']","['C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'C', 'S', 'C']","['Y', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y']","['medium', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'low']",19,"['N_Y_C', 'N_Y_S', 'N_B_S', 'T_B_C', 'T_Y_C', 'T_Y_S', 'T_B_S', 'N_B_C', 'N_Y_C', 'N_Y_S', 'T_B_S', 'N_B_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'T_Y_S', 'N_Y_S', 'T_Y_S', 'T_Y_C', 'N_Y_C', 'T_B_S', 'T_B_C', 'N_B_C', 'N_B_S', 'N_Y_C']",0,Yes,Yes,No,Circular,Yellow,,5.0,5.0,
018,"['It’s square and yellow with a tail', 'It’s round and yellow and has a tail\xa0', 'It’s round and yellow and has no tail\xa0', 'It’s blue and round and has a tail', 'It’s \xa0square and blue and has no tail', 'It’s square and yellow and has no tail', 'It’s square and blue and has a tsil', 'It’s blue abd round and has no tail\xa0', 'It’s square and yellow and has no tail', 'It’s round and yellow and has no tail\xa0', 'It’s square and blue and has nobtsil', 'It’s blue and round and has no tail\xa0', 'It’s blue and round and has no tail', 'Blue and square and has a tail', 'Round yellow has a tail', 'Square yellow has a tail', 'Round yellow no tail\xa0', 'Square yellow has a tail', 'Square yellow no tail\xa0', 'Blue square has a tail', 'Blue round has a tail\xa0', 'Blue round no tail\xa0', 'Blue square no tail', 'Round yellow tail']",[],"[8.0, 6.0, 2.0, 9.0, 3.0, 7.0, 9.0, 4.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 5.0, 3.0, 4.0, 6.0, 4.0, 7.0, 6.0, 3.0, 5.0, 6.0, 8.0]",505.719,"['N_Y_C', 'T_B_S', 'T_Y_S', 'N_Y_S', 'T_Y_C', 'N_B_C', 'N_B_S', 'T_B_C']","[6.0, 8.0, 7.0, 8.0, 5.0, 6.0, 5.0, 7.0]","['high', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'low', 'medium', 'low', 'medium', 'medium', 'low', 'high', 'medium', 'high', 'low', 'high', 'medium', 'high', 'medium', 'low', 'medium', 'medium', 'high']","['T', 'T', 'N', 'T', 'N', 'N', 'T', 'N', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'N', 'N', 'T', 'T']","['S', 'C', 'C', 'C', 'S', 'S', 'S', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'C', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'S']","['Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y', 'Y']","['low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'medium']",18,"['T_Y_S', 'T_Y_C', 'N_Y_C', 'T_B_C', 'N_B_S', 'N_Y_S', 'T_B_S', 'N_B_C', 'N_Y_S', 'N_Y_C', 'N_B_S', 'T_B_C', 'N_B_C', 'T_B_S', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'T_Y_S', 'N_Y_S', 'T_B_S', 'T_B_C', 'N_B_C', 'N_B_S', 'T_Y_C', 'T_Y_S']",1,Yes,Yes,Yes,Circular,Yellow,Having a tail,4.0,5.0,4.0
007,"['Round sperks tend to be larger and require more food.', 'Yellow sperks have lower metabolisms than blue sperks.', 'Square sperks are males and require more food to meet their nutritional needs.', 'Square sperks without tails are younger and need less food. Mature sperks have tails.', ""The yellow square sperk is younger and needs less food. Younger sperks don't have tails."", 'This sperk is somewhat older and needs more food than the previous yellow square sperk without a tail.', ""This sperk doesn't have a tail and is rounder. The rounder sperks might tend to need less food."", 'The rounder sperks tend to require less food than the rectangular sperks.', 'The yellow round sperk has a tail so it is older and require more food than the yellow round sperk with no tail.', ""The sperk is blue and rectangular without a tail, so it is younger and needs less food. The younger sperks don't have tails."", 'This goes against my tail theory. Maybe this sperk is hibernating.\xa0', 'Usually the yellow sperks consume less than the blue ones. This sperk ate less yesterday, so now it is eating more today.\xa0', 'This sperk is eating less because it is a baby sperk.', 'This sperk is a young sperk, so it requires less food.', 'The amount of food varies, so maybe the tail theory is actually correct. This yellow sperk lacks a tail, so it needs less food.', 'This sperk has a tail, so it requires at least 5 units of food.', ""This yellow sperk has a tail, so it requires at least 5 units of food. The color and shape don't seem to correlate to a difference in food consumption."", 'The tail on this sperk indicates that it usually requires at least 5 units of food.', 'The blue square sperk has a tail and ate at least 5 units of food. This aligns with my tail hypothesis for food consumption.', ""This round yellow sperk doesn't have a tail, so it usually requires less than 5 units of food."", ""The round blue sperk doesn't have a tail and ate less than 5 units of food. This matches my tail hypothesis for measuring adequate units of food for the sperks."", 'This round yellow sperk has a tail and ate 6 units of food. Sperks with tails tend to eat at least 5 units of food.', ""This rectangular yellow sperk ate exactly 5 units of food. Even though it doesn't have a tail, this doesn't disprove my hypothesis. The amount of food sperks need varies, but 5 units is not unusual for sperks without tails. Sperks without tails eat 5 units or less."", 'This goes against my tail hypothesis, but the amount of food a sperk eats does vary. This sperk could be maturing into an adult and is starting to require more food.']",['I felt compelled to come up with all sorts of theories for why I thought the amount of food deviated from my previous theory.'],"[7.0, 4.0, 10.0, 5.0, 4.0, 6.0, 4.0, 3.0, 7.0, 5.0, 4.0, 8.0, 2.0, 2.0, 3.0, 5.0, 7.0, 8.0, 8.0, 2.0, 4.0, 6.0, 5.0, 6.0, 7.0]",1270.7656,"['N_Y_C', 'T_Y_C', 'T_Y_S', 'T_B_S', 'N_Y_S', 'T_B_C', 'N_B_S', 'N_B_C']","[4.0, 7.0, 7.0, 7.0, 5.0, 7.0, 5.0, 4.0]","['medium', 'medium', 'high', 'medium', 'medium', 'high', 'low', 'low', 'medium', 'medium', 'high', 'high', 'low', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'low', 'medium', 'medium', 'medium', 'medium']","['T', 'T', 'T', 'N', 'N', 'T', 'N', 'N', 'T', 'N', 'T', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'T', 'N', 'N', 'T']","['C', 'C', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'S', 'C']","['B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'B']","['low', 'medium', 'high', 'high', 'medium', 'medium', 'medium', 'low']",7,"['T_B_C', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'T_Y_S', 'N_B_C', 'N_Y_C', 'T_Y_C', 'N_B_S', 'T_B_S', 'T_Y_S', 'N_B_C', 'N_Y_C', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_B_C', 'T_B_S', 'N_Y_C', 'N_B_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_B_C']",1,No,No,Yes,,,Having a tail,,,5.0
004,"['It was hungry and was given this amount', 'this is all he was given', 'this is what he was given because he was square', 'this is what he was given because he is orange', 'because he is blue and square', 'because he is orange and square', 'because he is square', 'because he is square and blue', 'because he is orange and square', 'because he is blue and round', 'because he is orange and round', 'because he is blue and square', 'because he us orange and square', 'Because he is orange and round', 'because he is blue and round', 'because he is orange', 'because he is square', 'because he is round', 'because he is square', 'because he is square', 'because he is square', 'because he is round', 'because he is round']",[],"[2.0, 7.0, 1.0, 5.0, 4.0, 7.0, 7.0, 7.0, 8.0, 5.0, 6.0, 5.0, 7.0, 8.0, 3.0, 4.0, 6.0, 10.0, 1.0, 6.0, 8.0, 4.0, 4.0, 4.0, 2.0]",314.2888,"['N_Y_C', 'N_B_C', 'T_B_S', 'T_Y_C', 'N_B_S', 'T_B_C', 'N_Y_S', 'T_Y_S']","[3.0, 4.0, 6.0, 6.0, 8.0, 6.0, 5.0, 5.0]","['low', 'medium', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'low', 'medium', 'high', 'low', 'medium', 'high', 'medium', 'medium', 'low', 'low']","['N', 'T', 'N', 'N', 'T', 'T', 'N', 'T', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'T', 'N', 'T', 'N', 'N']","['C', 'C', 'C', 'S', 'C', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'C']","['Y', 'B', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y']","['low', 'low', 'high', 'medium', 'medium', 'medium', 'medium', 'high']",4,"['N_Y_C', 'T_B_C', 'N_B_C', 'N_B_S', 'T_Y_C', 'T_B_S', 'N_Y_S', 'T_Y_S', 'N_B_S', 'N_Y_S', 'T_B_C', 'T_Y_C', 'T_B_S', 'T_Y_S', 'N_Y_C', 'N_B_C', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'N_Y_S', 'T_B_S', 'N_B_S', 'T_B_C', 'N_B_C', 'N_Y_C']",1,Yes,No,No,,,,6.0,,4.0
020,"['Because it wanted to', 'Because its greedy', 'Because its not hungry', 'Because its lunch', 'Because its hungry', 'Because its hungry', 'Because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry', 'because its hungry']",['Nonsensical'],"[6.0, 7.0, 2.0, 4.0, 7.0, 6.0, 7.0, 4.0, 8.0, 5.0, 4.0, 9.0, 8.0, 3.0, 7.0, 1.0, 3.0, 7.0, 3.0, 1.0, 7.0, 4.0, 4.0, 2.0, 6.0]",338.9352,"['T_Y_C', 'T_B_S', 'N_Y_C', 'N_B_C', 'T_B_C', 'N_Y_S', 'N_B_S', 'T_Y_S']","[7.0, 6.0, 5.0, 10.0, 4.0, 9.0, 2.0, 3.0]","['medium', 'medium', 'low', 'low', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'high', 'low', 'medium', 'high', 'high', 'low', 'medium', 'medium', 'medium', 'low', 'medium']","['T', 'T', 'N', 'N', 'T', 'N', 'T', 'N', 'T', 'N', 'N', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'T']","['C', 'C', 'C', 'C', 'S', 'S', 'S', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'C']","['Y', 'B', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y', 'Y', 'Y']","['medium', 'high', 'low', 'low', 'medium', 'medium', 'medium', 'high']",20,"['T_Y_C', 'T_B_C', 'N_B_C', 'N_Y_C', 'T_Y_S', 'N_B_S', 'T_B_S', 'N_Y_S', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_B_S', 'T_B_C', 'N_Y_C', 'T_Y_S', 'N_B_C', 'T_Y_C', 'T_Y_S', 'T_B_S', 'N_B_C', 'T_B_C', 'N_B_S', 'N_Y_S', 'N_Y_C', 'T_Y_C']",1,Yes,Yes,Yes,,,,4.0,5.0,7.0
025,"['Maybe because it is the first day?', ""Maybe because of its' color"", 'It is day two', ""The shape of its' body"", 'The color and shape of its body', ""It doesn't have a tail"", 'It is yellow with a tail', 'It is circular without a tail', 'It is blue and rectangular and has a tail', 'It is yellow with a rectangular body and no tail', 'It has a tail', 'It does not have a tail', 'It has a tail', 'It has a oval body', 'It has an oval body', ""It doesn't have a tail"", 'It has a tail and oval body', 'It has a tail and rectangular body', 'It has a tail and oval body', 'Rectangular body with tail', 'Oval body, no tail', 'Oval body, no tail', 'Rectangular body no tail']","[""I have no comments at this time. I did miss the first comment because I didn't realize you could just start typing to enter the information. Thank you very much for the opportunity!""]","[4.0, 5.0, 4.0, 7.0, 6.0, 7.0, 5.0, 5.0, 5.0, 6.0, 4.0, 9.0, 5.0, 6.0, 3.0, 2.0, 3.0, 4.0, 7.0, 6.0, 7.0, 2.0, 2.0, 6.0, 4.0]",382.158,"['N_Y_S', 'T_Y_C', 'T_B_C', 'T_B_S', 'N_B_S', 'T_Y_S', 'N_B_C', 'N_Y_C']","[7.0, 4.0, 4.0, 6.0, 6.0, 8.0, 3.0, 2.0]","['medium', 'low', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'low', 'medium', 'medium']","['T', 'N', 'N', 'T', 'N', 'T', 'N', 'T', 'N', 'T', 'N', 'T', 'N', 'T', 'T', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'T']","['C', 'C', 'C', 'C', 'S', 'S', 'S', 'S', 'C', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'C']","['B', 'Y', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'B']","['medium', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'low']",25,"['T_B_C', 'N_Y_C', 'N_B_C', 'T_Y_C', 'N_Y_S', 'T_B_S', 'N_B_S', 'T_Y_S', 'N_Y_C', 'T_B_S', 'N_Y_S', 'T_Y_S', 'N_B_S', 'T_B_C', 'T_Y_C', 'N_B_C', 'N_B_S', 'T_Y_C', 'T_Y_S', 'T_B_C', 'T_B_S', 'N_Y_C', 'N_B_C', 'N_Y_S', 'T_B_C']",0,Yes,No,Yes,Square,,,4.0,,3.0
008,"['It was all it was given', 'It was given that much food', ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", ""That's how much food it was given"", 'they eat less than blue square no tail', 'They eat less than round yellow with tail', 'They eat more than yellow round no tail', 'They eat much less than round blue with tail', 'They eat more than yellow square without a tail', 'They eat less than yellow square with a tail']","['By the time I figured out that there were actually 8 different types of divisions between the different sperks, that part was over.']","[1.0, 7.0, 6.0, 6.0, 7.0, 5.0, 1.0, 10.0, 6.0, 6.0, 5.0, 3.0, 4.0, 8.0, 6.0, 5.0, 5.0, 8.0, 5.0, 4.0, 5.0, 1.0, 8.0, 4.0, 1.0]",779.0407,"['T_Y_C', 'N_Y_S', 'N_B_S', 'N_Y_C', 'T_B_S', 'N_B_C', 'T_B_C', 'T_Y_S']","[4.0, 4.0, 6.0, 5.0, 5.0, 3.0, 5.0, 6.0]","['low', 'medium', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'high', 'medium', 'low', 'medium', 'high', 'medium', 'low', 'medium', 'low', 'high', 'medium', 'low']","['N', 'T', 'N', 'N', 'T', 'T', 'N', 'T', 'T', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'T', 'N', 'T', 'N', 'N']","['C', 'C', 'S', 'S', 'C', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'C']","['Y', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'Y']","['medium', 'medium', 'medium', 'low', 'high', 'low', 'medium', 'high']",8,"['N_Y_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_B_C', 'T_B_S', 'N_B_C', 'T_Y_S', 'T_Y_S', 'T_B_C', 'N_Y_S', 'N_B_C', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_Y_C', 'T_B_C', 'T_B_S', 'N_B_S', 'N_Y_C', 'T_Y_C', 'N_B_C', 'T_Y_S', 'N_Y_S', 'N_Y_C']",1,No,Yes,Yes,,Yellow,Having a tail,,3.0,5.0
002,"['Because it has a tail.\xa0', 'Because it has a square body', 'Because it has a round body', 'Because it has a square body and a tail', 'Because it has a square body\xa0', 'Because it has a round body\xa0', 'Because it has a rectangle body\xa0', 'It has a round body and tail\xa0', 'Rectangle body and tail\xa0', 'Rectangle body and tail\xa0', 'Because it has a round body\xa0', 'Because it has a rectangular body and no tail\xa0', 'It has a round body and is yellow\xa0', 'Rectangular bodies eat 5.\xa0', 'Because it’s yellow, circular, and has a tail.\xa0', 'Because it’s circular with a tail.\xa0', 'Because it’s rectangular and has a tail.\xa0', 'Because it’s round without a tail.\xa0', 'Because it’s rectangular with a tail.\xa0', 'Because it’s round and yellow\xa0', 'Because it’s rectangular and yellow.\xa0', 'Because it’s round with a tail\xa0', 'Because it’s round\xa0', 'It’s rectangular without a tail.\xa0']",[],"[5.0, 5.0, 2.0, 8.0, 5.0, 2.0, 5.0, 3.0, 6.0, 7.0, 2.0, 4.0, 5.0, 5.0, 5.0, 4.0, 8.0, 3.0, 6.0, 3.0, 6.0, 3.0, 2.0, 4.0, 5.0]",507.909,"['T_B_S', 'N_B_C', 'N_Y_C', 'N_B_S', 'T_B_C', 'T_Y_C', 'T_Y_S', 'N_Y_S']","[5.0, 2.0, 3.0, 4.0, 4.0, 5.0, 7.0, 5.0]","['medium', 'medium', 'low', 'high', 'medium', 'low', 'high', 'medium', 'high', 'high', 'low', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'low', 'medium', 'medium', 'medium', 'medium', 'medium']","['T', 'N', 'N', 'T', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'N', 'T', 'T', 'N', 'T']","['C', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'C']","['B', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B']","['high', 'low', 'low', 'medium', 'medium', 'medium', 'high', 'medium']",2,"['T_B_C', 'N_Y_S', 'N_Y_C', 'T_Y_S', 'N_B_S', 'N_B_C', 'T_B_S', 'T_Y_C', 'T_B_S', 'T_Y_S', 'N_B_C', 'N_Y_S', 'N_Y_C', 'N_B_S', 'T_Y_C', 'T_B_C', 'T_B_S', 'N_B_C', 'T_Y_S', 'N_Y_C', 'N_Y_S', 'T_B_C', 'T_Y_C', 'N_B_S', 'T_B_C']",1,Yes,No,Yes,Square,,Having a tail,7.0,,4.0
027,"['red eye', 'blue', 'no tail', 'body shape', 'body shape', 'tail + red eye', 'tail + red eye + blue', 'body shape + 1 (blue)', 'no idea', 'body shape', 'body shape', 'body shape', 'body shape + yellow', 'body shape + yellow', 'body shape', 'body shape + no tail', 'body shape + 1 (blue represents one)', 'body shape', 'absolutely no idea', ""i don't know"", ""body shape but I don't know how any of it matches with the numbers"", ""I don't know"", 'no idea', 'no idea']",[],"[6.0, 5.0, 1.0, 4.0, 3.0, 6.0, 7.0, 4.0, 6.0, 4.0, 6.0, 4.0, 3.0, 6.0, 6.0, 5.0, 5.0, 2.0, 5.0, 7.0, 8.0, 3.0, 4.0, 3.0, 6.0]",462.9379,"['N_B_S', 'T_Y_S', 'N_Y_C', 'N_Y_S', 'T_B_C', 'N_B_C', 'T_B_S', 'T_Y_C']","[4.0, 6.0, 3.0, 2.0, 5.0, 3.0, 7.0, 7.0]","['medium', 'medium', 'low', 'medium', 'low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'low', 'medium', 'high', 'high', 'medium', 'medium', 'medium', 'high', 'high', 'medium', 'low', 'medium', 'low', 'medium']","['T', 'N', 'N', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'T']","['C', 'S', 'C', 'S', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'C', 'C', 'S', 'S', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'C']","['Y', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y']","['medium', 'high', 'low', 'medium', 'medium', 'low', 'high', 'medium']",27,"['T_Y_C', 'N_B_S', 'N_Y_C', 'N_Y_S', 'N_B_C', 'T_Y_S', 'T_B_S', 'T_B_C', 'T_B_C', 'N_Y_C', 'N_B_S', 'N_B_C', 'T_Y_C', 'T_Y_S', 'T_B_S', 'N_Y_S', 'T_B_C', 'N_Y_S', 'T_B_S', 'T_Y_S', 'T_Y_C', 'N_Y_C', 'N_B_S', 'N_B_C', 'T_Y_C']",1,Yes,Yes,Yes,Circular,Yellow,Having a tail,3.0,2.0,2.0
029,"['That is what they normally eat\xa0', 'That is their normal meal', 'That is a bit above normal', 'That is their normal meal', 'This is too low', 'This is a bit above normal', 'This is a bit low', 'This is normal\xa0', 'This is normal\xa0', 'This is normal', 'This is a bit high\xa0', 'This is normal\xa0', 'This is normal', 'This is normal\xa0', 'This is high', 'This is normal\xa0', 'This is normal\xa0', 'This is normal\xa0', 'This is high', 'This is low', 'This is normal', 'This is normal', 'This is high', 'This is normal']",[],"[5.0, 5.0, 6.0, 7.0, 1.0, 8.0, 2.0, 6.0, 5.0, 9.0, 4.0, 5.0, 5.0, 3.0, 8.0, 6.0, 2.0, 4.0, 7.0, 2.0, 7.0, 8.0, 6.0, 4.0, 5.0]",248.891,"['T_Y_S', 'T_Y_C', 'N_B_S', 'N_Y_S', 'T_B_C', 'T_B_S', 'N_B_C', 'N_Y_C']","[7.0, 4.0, 6.0, 7.0, 7.0, 6.0, 8.0, 3.0]","['low', 'medium', 'medium', 'medium', 'low', 'high', 'medium', 'high', 'high', 'high', 'low', 'medium', 'medium', 'low', 'medium', 'medium', 'low', 'medium', 'high', 'medium', 'high', 'medium', 'medium', 'low', 'low']","['N', 'N', 'T', 'N', 'N', 'T', 'T', 'T', 'T', 'T', 'N', 'T', 'N', 'N', 'T', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'N']","['C', 'S', 'C', 'S', 'C', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'C', 'S', 'C', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C']","['B', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'B', 'B']","['high', 'medium', 'medium', 'medium', 'medium', 'high', 'low', 'low']",29,"['N_B_C', 'N_B_S', 'T_B_C', 'N_Y_S', 'N_Y_C', 'T_B_S', 'T_Y_C', 'T_Y_S', 'T_Y_S', 'T_B_S', 'N_Y_C', 'T_Y_C', 'N_B_S', 'N_B_C', 'T_B_C', 'N_Y_S', 'N_Y_C', 'N_Y_S', 'T_B_S', 'N_B_S', 'T_Y_S', 'T_B_C', 'T_Y_C', 'N_B_C', 'N_B_C']",1,Yes,Yes,No,,,,6.0,5.0,
